Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/1021998/new-york-208216-king-st,King St. TOD Project - Opportunity Zone QOZ tax incentive,On-Market,Multifamily,208 and 216 King St,Port Chester,NY,10573,,,,247874.0,,185.0,,,,,,,1015.0,Yes,-73.6642212,41.0041578
https://www.crexi.com/properties/2167658/new-york-260-264-clinton-ave-kingston,Fully Leased  Unregulated  32 Unit SRO,On-Market,Multifamily,260-264 Clinton Ave,Kingston,NY,12401,,,,10000.0,0.52,32.0,93593.75,317840.0,10.61,2995000.0,0.0,5759615.38461538,38.0,Yes,-74.0165526155096,41.9334602162017
https://www.crexi.com/properties/2165453/new-york-sha-wan-ga-valley-airport-bloomingburg-ny,"Sha-Wan-Ga Valley Airport ... Bloomingburg, NY",On-Market,"Industrial, Land, Mixed Use, Multifamily, Office",269 Stone Schoolhouse Rd,Bloomingburg,NY,12721,Multi,,,24000.0,37.0,10.0,,,,,,,42.0,No,-74.3999833,41.5703581
https://www.crexi.com/properties/1828115/new-york-prime-investment---storefront-two-residential-incomes,PRIME INVESTMENT - Storefront  TWO Residential Incomes,On-Market,"Mixed Use, Multifamily, Retail",135 Union St,Montgomery,NY,12549,Multi,,,3228.0,0.28,3.0,,,,1249999.0,387.236369268897,4464282.14285714,219.0,No,-74.2422934235193,41.5212437656338
https://www.crexi.com/properties/1889753/new-york-191-plains-road,191 Plains Road,On-Market,Multifamily,191 Plains Rd,Walden,NY,12586,,,,3176.0,1.5,3.0,,,,1300000.0,409.319899244332,866666.666666667,192.0,No,-74.1428284,41.5848665
https://www.crexi.com/properties/2214011/new-york-181-glenerie-boulevard,181 Glenerie Boulevard,On-Market,Multifamily,181 Glenerie Boulevard,Ulster,NY,12477,,,,,0.5456,7.0,,78007.0,,1100000.0,,2016129.03225806,3.0,No,-73.9876596,42.0157139
https://www.crexi.com/properties/1991663/new-york-vineyard-avenue,Vineyard Avenue,On-Market,"Industrial, Mixed Use, Multifamily, Self Storage, Senior Living",157 Vineyard Avenue,Highland,NY,12528,Multi,1.0,1.0,84000.0,2.9,,,220000.0,,2900000.0,34.5238095238095,1000000.0,109.0,No,-73.972338,41.7133214
https://www.crexi.com/properties/1669819/new-york-the-jewel-house-rustic-retreat,The Jewel House  Rustic Retreat,On-Market,"Hospitality, Multifamily",103 Carney Rd,Ulster Park,NY,12487,,,,8800.0,3.2,3.0,,138916.0,5.67,2450000.0,278.409090909091,765625.0,395.0,No,-74.0250702470494,41.8505613084207
https://www.crexi.com/properties/1541577/new-york-monticello-cresent-luxury-townhomes,Monticello Cresent Luxury Townhomes,On-Market,Multifamily,Henri Pl,Monticello,NY,12701,,,,1090.0,15.12,187.0,37427.81,,,6999000.0,6421.1,462896.825396825,507.0,No,-74.7005088091157,41.6595135570687
https://www.crexi.com/properties/1583864/new-york-fishkill-ny-estate-property---development-opportuntiy,Fishkill NY Estate Property - Development Opportunity,On-Market,Multifamily,62 Old Glenham Rd,Glenham,NY,12527,,,,9396.0,22.26,4.0,450000.0,0.0,0.0,1800000.0,191.57,80862.5336927224,463.0,No,-73.9355657898678,41.519554256324
https://www.crexi.com/properties/1959892/new-york-auto-bodymixed-use,Auto BodyMixed Use,On-Market,"Industrial, Multifamily",13 Edgemont Road,Katonah,NY,10536,,,,4500.0,,5.0,,,,3200000.0,711.111111111111,,129.0,No,-73.6845819808366,41.2601141650767
https://www.crexi.com/properties/839567/new-york-11-main,11 Main,On-Market,"Mixed Use, Multifamily, Retail",11 Main St,Kingston,NY,12401,Multi,,20.0,6000.0,,5.0,,,5.67,1450000.0,241.666666666667,,1225.0,Yes,-74.0170403568491,41.9331912032425
https://www.crexi.com/properties/1157033/new-york-parrino-greenhouse-nursery,Parrino Greenhouse  Nursery Facility,On-Market,"Hospitality, Land, Mixed Use, Multifamily, Retail",178 Charles Colman Blvd,Pawling,NY,12564,Vacant,,,17000.0,4.0,,,220000.0,16.3,1350000.0,79.41,337500.0,864.0,No,-73.5998829952775,41.5711003065686
